Command_Name,Description
typer,Calculates the eventtypes for the search results.
union,Merges the results from two or more datasets into one dataset.
uniq,Removes any search that is an exact duplicate with a previous result.
untable,Converts results from a tabular format to a format similar to stats output. Inverse of xyseries and maketable.
where,"Performs arbitrary filtering on your data. See also, Evaluations functions."
x11,Enables you to determine the trend in your data by removing the seasonal pattern.
xmlkv,Extracts XML key-value pairs.
xmlunescape,Unescapes XML.
xpath,Redefines the XML path.
xyseries,Converts results into a format suitable for graphing.
